placeUrl,title,quote,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,samedi,dimanche,lundi,mardi,mercredi,jeudi,vendredi,imgUrl,isClaimed,latitude,longitude,query,timestamp,openingHours
"https://www.google.fr/maps/place/Le+caf%C3%A9+de+Chlo%C3%A9/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eaf381cf1287:0x606ce4350aa06d15!8m2!3d45.7682219!4d4.8490661!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VObk1IRjFlVlZSRUFF?hl=fr",Le café de Chloé,"Ce café-salon de thé propose une restauration simple, des pâtisseries maison et un espace lecture/librairie.","4,3",126,Restaurant,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"90 Rue Boileau, 69006 Lyon, France","QR9X+7H Lyon, France",le-cafe-de-chloe.business.site,+33 4 78 24 03 60,Fermé,Fermé,7h30–22h00,7h30–22h00,7h30–22h00,7h30–22h00,7h30–22h00,https://lh5.googleusercontent.com/p/AF1QipP33zyGlbEBi1p1WzVWH7L9gaVWMTYgTZHwOgBv=w408-h306-k-no,true,45.768187500000025,4.848937500000019,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:11.133Z,
"https://www.google.fr/maps/place/Bongoo+Caf%C3%A9+Lyon+6+-+Boutique+et+Torr%C3%A9faction/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eaf3f3a5ffcf:0xb3eebd02c3038694!8m2!3d45.7684966!4d4.8474905!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEMY29mZmVlX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJwYTBsVFZFZEJFQUU?hl=fr",Bongoo Café Lyon 6 - Boutique et Torréfaction,,"4,7",86,Boutique de café,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"99 Rue Duguesclin, 69006 Lyon, France","QR9X+C2 Lyon, France",bongoocafe.com,+33 9 52 97 52 95,10h00–17h00,Fermé,Fermé,"10h00–13h00, 15h00–19h00","10h00–13h00, 15h00–19h00",Fermé,Fermé,https://lh5.googleusercontent.com/p/AF1QipPbHIwChYR_NlnKJINCu_fogsXi7GzK4__e_1yi=w408-h544-k-no,false,45.768562500000016,4.8475625000000235,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:13.809Z,
"https://www.google.fr/maps/place/L'avocat+caf%C3%A9/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eb753ade5343:0x871eb1038a2523d!8m2!3d45.7667595!4d4.8435325!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOemNXRjVjRFJCUlJBQg?hl=fr",L'avocat café,,"4,7",46,Café,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"19 Rue Cuvier, 69006 Lyon, France","QR8V+PC Lyon, France",lavocat-cafe-lyon.eatbu.com,+33 7 67 59 79 36,9h00–16h00,9h00–16h00,Fermé,9h00–16h00,9h00–16h00,9h00–16h00,9h00–16h00,https://lh5.googleusercontent.com/p/AF1QipMwef1gA0P59umo2dwx9sV17zfbPHPY51sCWlk=w408-h489-k-no,true,45.76681249999997,4.843562500000004,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:17.260Z,
"https://www.google.fr/maps/place/Caf%C3%A9+Du+Pond/@45.7688012,4.8418262,16z/data=!4m6!1m2!2m1!1scafe+lyon+69006!3m2!1s0x47f4eaf0d2b69f33:0x9497e733dc6e3076!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEKcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSRGVrMDNPRGxSUlJBQg?hl=fr",Café Du Pond,Cuisine traditionnelle dans un cadre design rouge et anthracite avec de grandes baies vitrées et une terrasse.,"3,6",406,Restaurant,·  Service aux tables  ·  Livraison,"11 Place Maréchal Lyautey, 69006 Lyon, France","QR9V+86 Lyon, France",cafedupondrestaurant.fr,+33 4 78 52 39 99,10h00–21h00,Fermé,10h00–21h00,10h00–21h00,10h00–21h00,10h00–21h00,10h00–21h00,https://lh5.googleusercontent.com/p/AF1QipPXvMrBuro4kZClyAPqXuAp16UIK6JrzgVekzRL=w408-h272-k-no,true,45.76831250000002,4.843062499999988,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:19.993Z,
"https://www.google.fr/maps/place/Caf%C3%A9+SoMoS/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eb6d7b03fc75:0x14e0b893804ca9d5!8m2!3d45.7687597!4d4.848984!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNNE9FNXROR3hCUlJBQg?hl=fr",Café SoMoS,,"5,0",33,Café,·  Service aux tables  ·  Commandes à emporter,"84 Rue Boileau, 69006 Lyon, France","QR9X+GH Lyon, France",cafesomos.fr,+33 4 72 78 00 33,Fermé,Fermé,Fermé,11h00–15h00,11h00–15h00,Fermé,Fermé,https://lh5.googleusercontent.com/p/AF1QipOYnwowDCoZli1uLPgyH51UGvy9MVdkrfE9dBk=w408-h306-k-no,true,45.76881250000001,4.848937500000019,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:22.428Z,
"https://www.google.fr/maps/place/Caf%C3%A9+l'Edgar+Quinet/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eaf65fb612b5:0x7a44fe2712af982c!8m2!3d45.7659094!4d4.844295!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSak1WOHpXSGxSUlJBQg?hl=fr",Café l'Edgar Quinet,,"3,8",297,Café,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"30 Avenue Maréchal de Saxe, 69006 Lyon, France","QR8V+9P Lyon, France",cafe-l-edgar-quinet.poi.place,+33 4 78 52 07 34,7h30–22h30,Fermé,7h30–22h30,7h30–22h30,7h30–22h30,7h30–22h30,7h30–22h30,https://lh5.googleusercontent.com/p/AF1QipNl1B5t-dn20etJuyWn7HfaIt_OPPdE5UFmq6mt=w408-h306-k-no,false,45.76593749999999,4.844312499999987,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:25.933Z,
"https://www.google.fr/maps/place/Le+Rive+Gauche/@45.7688012,4.8418262,16z/data=!4m6!1m2!2m1!1scafe+lyon+69006!3m2!1s0x47f4eaf3e8d9b3af:0x5f47b64730af0acd!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEHYnJld2VyeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObmRrcE1aUzEzUlJBQg?hl=fr",Le Rive Gauche,Cette brasserie propose des plats traditionnels en terrasse ou dans une salle élégante aux tons clairs.,"4,1",341,Brasserie,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"31 Cours Franklin Roosevelt, 69006 Lyon, France","QR9W+MX Lyon, France",le-rivegauche.fr,+33 4 78 89 51 21,8h00–23h00,8h00–20h00,8h00–20h00,8h00–20h00,8h00–20h00,8h00–23h00,8h00–23h00,https://lh5.googleusercontent.com/p/AF1QipOJdXJsubms0soiOPfL8c6dTfmzMAkXVGpGNGR1=w408-h612-k-no,true,45.7691875,4.847437499999998,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:28.966Z,
"https://www.google.fr/maps/place/Rakw%C3%A9+Caf%C3%A9/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4eafc4013ffff:0x92e2c154c652a8f!8m2!3d45.7699321!4d4.8345146!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnpiRkJFYkRSUlJSQUI?hl=fr",Rakwé Café,,"4,9",235,Café,·  Service aux tables  ·  Commandes à emporter  ·  Livraison,"26 Rue René Leynaud, 69001 Lyon, France","QR9M+XR Lyon, France",rakwe.fr,+33 4 78 27 74 85,14h00–18h00,14h00–18h00,9h30–18h00,9h30–18h00,9h30–18h00,9h30–18h00,9h30–18h00,https://lh5.googleusercontent.com/p/AF1QipNuxfuFiTmSQHzkitI07pYwU7fi85-VY6AkvGQZ=w408-h408-k-no,true,45.76993750000001,4.834562500000018,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:31.904Z,
"https://www.google.fr/maps/place/Le+Morand/@45.7699147,4.8301456,16z/data=!4m6!1m2!2m1!1scafe+lyon+69006!3m2!1s0x47f4eaf6aace703d:0x90e4ee4be55e7d3b!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgERZnJlbmNoX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkpOV00zVVVobkVBRQ?hl=fr",Le Morand,,"4,5",166,Restaurant français,·  Livraison,"67 Avenue Maréchal Foch, 69006 Lyon, France","QR9V+JH Lyon, France",,+33 4 78 89 11 18,6h30–23h00,Fermé,6h30–23h00,6h30–23h00,6h30–23h00,6h30–23h00,6h30–23h00,https://lh5.googleusercontent.com/p/AF1QipO_qgaTjDZaImU6ZPUBVGvGVNcCUbw3ruR-zO5T=w425-h240-k-no,true,45.769062500000004,4.843937499999996,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:34.332Z,
"https://www.google.fr/maps/place/HARVEL'S+FOOD+%26+COFFEE/@45.7688012,4.8418262,16z/data=!4m9!1m2!2m1!1scafe+lyon+69006!3m5!1s0x47f4ea8cd526def9:0x4a30040be6735a46!8m2!3d45.770121!4d4.8518205!15sCg9jYWZlIGx5b24gNjkwMDZaFwoEY2FmZSIPY2FmZSBseW9uIDY5MDA2kgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnZYelpYYXpGUlJSQUI?hl=fr",HARVEL'S FOOD & COFFEE,,"3,9",93,Restaurant-minute,·  Service aux tables  ·  Commandes à emporter  ·  Livraison sans contact,"36 Rue Tête d'Or, 69006 Lyon, France","QVC2+2P Lyon, France",,+33 9 81 73 69 20,9h15–16h30,Fermé,8h15–16h30,8h15–16h30,8h15–16h30,8h15–16h30,8h15–16h30,https://lh5.googleusercontent.com/p/AF1QipMp9czJYHVReieHVkesZXlWqFiZNvlp0hlVsIPj=w426-h240-k-no,true,45.77006250000001,4.85181249999998,"https://www.google.fr/maps/search/cafe+lyon+69006/@45.7688014,4.8418262,16z/data=!3m1!4b1",2021-05-08T11:49:37.127Z,
